상호명,서비스,음식,편의성,가격,행정동,중분류,업종,naver_map_url
털보네해물탕,1.25,1.09,0.98,1.0,종로1.2.3.4가동,일식/수산물,해물찜/탕전문,https://m.place.naver.com/restaurant/19407406
백암왕순대순대국,0.95,0.7,0.65,0.69,역삼1동,별식/퓨전요리,순대전문점,https://m.place.naver.com/restaurant/12045491
옳은,2.11,1.61,1.07,1.46,종로1.2.3.4가동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/37322551
이자카야나무,1.68,1.81,0.85,1.28,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/36301743
핏자터틀스,2.09,1.63,1.16,1.37,서교동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/1160997623
아성,0.95,0.67,0.65,0.72,역삼1동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/1149193518
뽀빠이피자클럽,1.38,1.09,0.97,1.08,서교동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/1952865304
뚝심,1.09,0.86,0.78,0.74,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/37114077
닥터로빈광화문점,2.46,2.64,1.32,2.24,종로1.2.3.4가동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/36992330
명참치,2.24,2.04,1.26,1.76,종로1.2.3.4가동,일식/수산물,참치전문점,https://m.place.naver.com/restaurant/37288881
스테프핫도그메세나폴리스점,1.21,0.93,0.68,0.72,서교동,패스트푸드,핫도그,https://m.place.naver.com/restaurant/36714980
어거스트힐,2.18,1.5,1.02,2.26,역삼1동,양식,패밀리레스토랑,https://m.place.naver.com/restaurant/661051254
플로팅,2.79,2.81,1.31,2.21,서교동,양식,패밀리레스토랑,https://m.place.naver.com/restaurant/1978497294
서브웨이,0.0,1.06,0.05,0.27,서교동,패스트푸드,샌드위치전문점,https://m.place.naver.com/restaurant/38278653
레드비틀,3.07,1.87,1.28,1.56,역삼1동,양식,돈가스전문점,https://m.place.naver.com/restaurant/35571617
바코포차,1.61,1.66,1.02,1.39,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1938863389
보승회관,1.5,2.14,1.56,1.74,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1730224429
로쏘1924,3.11,3.94,2.27,4.71,서교동,패스트푸드,피자전문,https://m.place.naver.com/restaurant/1017474885
경양카츠,2.29,2.49,2.51,1.89,종로1.2.3.4가동,양식,돈가스전문점,https://m.place.naver.com/restaurant/1228174463
온달집,1.23,1.11,0.99,1.02,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1292304113
가마골,1.94,2.42,1.33,1.84,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1996160834
행복갈비탕,1.15,1.54,1.13,0.73,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1239454206
더위스키,1.07,0.79,0.72,0.77,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1055532389
명륜진사갈비,1.1,0.7,0.92,0.89,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1099894206
충무칼국수,1.89,2.74,3.0,2.13,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/11592636
코코,1.64,1.52,1.39,1.5,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/33331746
가로수포차,2.1,1.76,1.37,1.66,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1236350738
칸타레,1.72,1.52,1.02,1.66,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/1224780337
에그드랍,1.58,1.42,1.08,1.43,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1944661145
싱카이,2.02,1.89,1.14,2.09,역삼1동,중식,중국음식/중국집,https://m.place.naver.com/restaurant/11674837
던킨도너츠,1.82,1.6,1.3,2.08,서교동,패스트푸드,도너츠전문,https://m.place.naver.com/restaurant/12948473
푸라닭치킨,1.01,0.85,0.67,0.73,역삼1동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/1680543646
경양카츠,2.31,3.58,3.75,5.0,역삼1동,양식,돈가스전문점,https://m.place.naver.com/restaurant/1294117742
홍대수카츠,1.49,1.95,2.21,1.8,서교동,양식,돈가스전문점,https://m.place.naver.com/restaurant/1660841305
역전우동0410,1.5,1.34,1.29,1.61,서교동,분식,우동전문점,https://m.place.naver.com/restaurant/1273502483
토메루,2.71,3.24,1.52,1.85,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1275939992
멘야하나비,1.45,1.46,1.21,1.52,서교동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1393927574
BBQ치킨,1.51,1.43,1.08,1.39,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/33167007
대포막창,1.58,1.44,1.02,1.29,서교동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/1019592431
사계진미,0.93,0.73,0.66,0.7,서교동,닭/오리요리,닭갈비전문,https://m.place.naver.com/restaurant/1356177424
도툼횟집,1.66,1.73,1.51,1.62,역삼1동,일식/수산물,횟집,https://m.place.naver.com/restaurant/1847512537
던킨도너츠,1.39,1.04,1.02,1.22,역삼1동,패스트푸드,도너츠전문,https://m.place.naver.com/restaurant/36947999
제순식당,1.66,1.64,1.37,1.55,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1299875051
올레비어,1.05,0.83,0.7,0.82,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1424126271
되는집,1.96,1.83,1.49,1.78,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1893229650
계림원,1.9,1.74,1.46,1.67,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/37688225
사랑방한정식,1.09,0.83,0.82,0.92,역삼1동,한식,한정식전문,https://m.place.naver.com/restaurant/13049371
장인닭갈비,1.64,2.93,1.46,2.06,역삼1동,닭/오리요리,닭갈비전문,https://m.place.naver.com/restaurant/37792495
바650,1.53,1.21,0.87,1.1,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1150891498
밀사랑칼국수,1.84,2.28,1.75,1.61,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/1538121432
왕돈까스왕냉면,1.29,1.11,0.99,1.07,서교동,양식,돈가스전문점,https://m.place.naver.com/restaurant/1779212253
사동면옥,1.08,0.89,1.06,1.13,종로1.2.3.4가동,한식,냉면집,https://m.place.naver.com/restaurant/31558666
신토불이,1.46,1.24,1.15,1.43,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11720996
